iter	Passed	Remaining
0	62	37274
1	136	40726
2	202	40278
3	282	42073
4	348	41469
5	412	40863
6	478	40506
7	544	40286
8	610	40102
9	684	40401
10	819	43888
11	909	44559
12	986	44559
13	1060	44384
14	1128	44026
15	1184	43240
16	1249	42863
17	1320	42685
18	1385	42362
19	1456	42236
20	1521	41943
21	1588	41721
22	1667	41835
23	1734	41626
24	1800	41400
25	1869	41262
26	1934	41059
27	2001	40897
28	2070	40769
29	2136	40595
30	2202	40418
31	2269	40283
32	2336	40150
33	2405	40044
34	2485	40119
35	2566	40203
36	2647	40288
37	2729	40372
38	2807	40381
39	2888	40434
40	3002	40940
41	3102	41218
42	3178	41178
43	3256	41145
44	3329	41058
45	3401	40968
46	3476	40899
47	3549	40814
48	3618	40695
49	3698	40683
50	3768	40565
51	3839	40461
52	3914	40405
53	3989	40336
54	4064	40273
55	4132	40140
56	4202	40033
57	4273	39936
58	4349	39878
59	4416	39747
60	4491	39685
61	4564	39605
62	4637	39527
63	4695	39322
64	4761	39188
65	4827	39059
66	4870	38749
67	4936	38618
68	5008	38543
69	5076	38439
70	5151	38379
71	5291	38803
72	5359	38688
73	5422	38541
74	5486	38403
75	5559	38332
76	5631	38248
77	5699	38143
78	5766	38026
79	5832	37912
80	5912	37881
81	5981	37782
82	6065	37784
83	6138	37705
84	6204	37592
85	6268	37466
86	6345	37416
87	6416	37334
88	6489	37259
89	6559	37170
90	6642	37151
91	6716	37089
92	6788	37006
93	6869	36976
94	6936	36870
95	7008	36795
96	7079	36710
97	7154	36647
98	7219	36537
99	7286	36431
100	7362	36372
101	7488	36563
102	7586	36606
103	7671	36585
104	7745	36514
105	7813	36411
106	7865	36241
107	7930	36127
108	7999	36034
109	8066	35934
110	8143	35876
111	8226	35844
112	8295	35751
113	8363	35655
114	8428	35545
115	8497	35453
116	8566	35364
117	8639	35291
118	8715	35229
119	8789	35158
120	8860	35074
121	8930	34990
122	9003	34915
123	9074	34832
124	9143	34744
125	9213	34659
126	9286	34587
127	9362	34525
128	9433	34442
129	9505	34364
130	9578	34292
131	9701	34395
132	9811	34449
133	9899	34427
134	9976	34364
135	10057	34312
136	10125	34219
137	10195	34131
138	10262	34035
139	10355	34026
140	10438	33979
141	10528	33958
142	10624	33953
143	10706	33905
144	10841	34019
145	10931	33992
146	11030	33991
147	11109	33930
148	11183	33849
149	11268	33804
150	11356	33769
151	11438	33712
152	11527	33678
153	11616	33642
154	11695	33578
155	11787	33549
156	11878	33516
157	11946	33419
158	12043	33405
159	12122	33336
160	12194	33250
161	12277	33194
162	12347	33103
163	12422	33026
164	12489	32925
165	12555	32826
166	12619	32720
167	12686	32622
168	12758	32536
169	12834	32463
170	12901	32366
171	12983	32308
172	13052	32215
173	13119	32119
174	13185	32022
175	13248	31916
176	13318	31828
177	13380	31722
178	13447	31628
179	13518	31543
180	13584	31446
181	13647	31343
182	13719	31261
183	13789	31177
184	13813	30986
185	13880	30895
186	13950	30811
187	14043	30775
188	14176	30827
189	14277	30810
190	14348	30724
191	14416	30635
192	14480	30536
193	14551	30452
194	14612	30348
195	14687	30274
196	14754	30183
197	14836	30122
198	14899	30024
199	14965	29930
200	15032	29839
201	15103	29758
202	15169	29666
203	15213	29532
204	15280	29442
205	15347	29353
206	15414	29265
207	15481	29176
208	15548	29087
209	15623	29015
210	15688	28923
211	15754	28834
212	15836	28772
213	15913	28703
214	15978	28612
215	16044	28524
216	16115	28442
217	16188	28367
218	16253	28276
219	16363	28264
220	16464	28236
221	16542	28166
222	16607	28076
223	16679	27997
224	16745	27909
225	16811	27821
226	16877	27732
227	16942	27643
228	17007	27553
229	17075	27468
230	17139	27378
231	17209	27297
232	17271	27203
233	17337	27117
234	17402	27029
235	17472	26948
236	17537	26861
237	17604	26776
238	17668	26687
239	17742	26613
240	17808	26527
241	17875	26443
242	17939	26355
243	18005	26270
244	18071	26184
245	18136	26099
246	18202	26014
247	18271	25934
248	18339	25852
249	18403	25764
250	18468	25678
251	18547	25612
252	18590	25498
253	18687	25456
254	18724	25332
255	18792	25252
256	18859	25170
257	18932	25096
258	18999	25014
259	19065	24932
260	19132	24850
261	19197	24766
262	19277	24701
263	19367	24649
264	19452	24590
265	19542	24537
266	19605	24452
267	19671	24368
268	19737	24286
269	19804	24205
270	19874	24128
271	19938	24043
272	20003	23959
273	20069	23878
274	20133	23794
275	20212	23727
276	20295	23665
277	20378	23603
278	20468	23550
279	20535	23469
280	20558	23338
281	20621	23253
282	20687	23173
283	20760	23100
284	20935	23139
285	21022	23080
286	21087	22998
287	21160	22923
288	21237	22854
289	21304	22773
290	21372	22694
291	21450	22625
292	21519	22547
293	21602	22483
294	21677	22412
295	21840	22430
296	21934	22377
297	22015	22311
298	22087	22235
299	22153	22153
300	22248	22100
301	22328	22032
302	22400	21956
303	22473	21881
304	22550	21810
305	22623	21735
306	22699	21663
307	22774	21591
308	22850	21519
309	22930	21450
310	23025	21396
311	23187	21403
312	23270	21337
313	23351	21269
314	23428	21197
315	23502	21122
316	23582	21052
317	23655	20977
318	23736	20908
319	23813	20836
320	23885	20760
321	23959	20685
322	24002	20583
323	24083	20515
324	24153	20437
325	24227	20362
326	24300	20287
327	24370	20209
328	24443	20134
329	24512	20055
330	24586	19981
331	24672	19915
332	24746	19841
333	24846	19787
334	24982	19762
335	25073	19700
336	25158	19634
337	25241	19565
338	25370	19532
339	25499	19499
340	25603	19446
341	25685	19376
342	25776	19313
343	25872	19254
344	25961	19188
345	26060	19131
346	26164	19076
347	26207	18978
348	26302	18916
349	26395	18854
350	26484	18788
351	26579	18726
352	26658	18653
353	26747	18587
354	26831	18517
355	26912	18445
356	26995	18375
357	27075	18302
358	27156	18230
359	27235	18157
360	27310	18080
361	27382	18003
362	27456	17926
363	27529	17848
364	27606	17774
365	27735	17732
366	27871	17694
367	27963	17628
368	28039	17553
369	28113	17475
370	28189	17399
371	28270	17326
372	28355	17256
373	28437	17184
374	28519	17111
375	28607	17042
376	28696	16974
377	28768	16895
378	28843	16818
379	28917	16741
380	29025	16683
381	29095	16604
382	29168	16526
383	29242	16449
384	29311	16368
385	29395	16297
386	29474	16222
387	29556	16149
388	29638	16076
389	29667	15974
390	29744	15899
391	29820	15823
392	29898	15748
393	30008	15689
394	30124	15634
395	30204	15560
396	30282	15484
397	30354	15405
398	30432	15330
399	30507	15253
400	30587	15179
401	30661	15101
402	30738	15026
403	30820	14952
404	30917	14886
405	31017	14821
406	31099	14747
407	31174	14670
408	31257	14597
409	31331	14519
410	31411	14444
411	31489	14369
412	31565	14292
413	31658	14223
414	31749	14153
415	31834	14080
416	31905	14001
417	31955	13913
418	32031	13836
419	32092	13753
420	32143	13666
421	32230	13594
422	32344	13534
423	32451	13470
424	32525	13392
425	32602	13316
426	32672	13237
427	32748	13160
428	32841	13090
429	32932	13019
430	33014	12945
431	33104	12873
432	33177	12795
433	33260	12721
434	33359	12653
435	33444	12580
436	33519	12502
437	33599	12427
438	33686	12354
439	33791	12287
440	33891	12219
441	33979	12146
442	34056	12069
443	34162	12003
444	34301	11947
445	34382	11871
446	34469	11798
447	34611	11743
448	34761	11690
449	34879	11626
450	34968	11552
451	35043	11474
452	35131	11400
453	35211	11323
454	35380	11274
455	35460	11197
456	35531	11118
457	35608	11040
458	35692	10964
459	35774	10887
460	35880	10818
461	35990	10750
462	36063	10671
463	36151	10596
464	36247	10523
465	36346	10451
466	36422	10372
467	36497	10294
468	36578	10217
469	36656	10139
470	36728	10059
471	36810	9982
472	36917	9912
473	37036	9845
474	37125	9769
475	37216	9694
476	37293	9616
477	37369	9537
478	37450	9460
479	37548	9387
480	37644	9313
481	37725	9235
482	37881	9176
483	38007	9109
484	38045	9021
485	38162	8951
486	38266	8879
487	38371	8806
488	38476	8733
489	38511	8645
490	38583	8565
491	38656	8485
492	38746	8409
493	38858	8337
494	38946	8261
495	39025	8182
496	39137	8111
497	39366	8063
498	39476	7990
499	39552	7910
500	39630	7831
501	39727	7755
502	39805	7676
503	39893	7598
504	39976	7520
505	40047	7439
506	40118	7359
507	40197	7279
508	40263	7198
509	40332	7117
510	40358	7029
511	40458	6953
512	40560	6878
513	40634	6798
514	40718	6720
515	40769	6636
516	40846	6557
517	40923	6478
518	40999	6398
519	41080	6320
520	41158	6240
521	41229	6160
522	41267	6075
523	41341	5996
524	41409	5915
525	41483	5836
526	41566	5757
527	41688	5684
528	41802	5610
529	41875	5530
530	41946	5450
531	42017	5370
532	42091	5291
533	42168	5211
534	42238	5131
535	42307	5051
536	42382	4972
537	42456	4892
538	42562	4816
539	42688	4743
540	42804	4668
541	42907	4591
542	42995	4513
543	43107	4437
544	43182	4357
545	43251	4277
546	43321	4197
547	43398	4118
548	43471	4038
549	43543	3958
550	43614	3878
551	43696	3799
552	43773	3720
553	43862	3641
554	43966	3564
555	44001	3482
556	44082	3403
557	44150	3323
558	44225	3243
559	44302	3164
560	44371	3084
561	44440	3004
562	44508	2925
563	44578	2845
564	44728	2770
565	44847	2694
566	45053	2622
567	45166	2544
568	45276	2466
569	45358	2387
570	45433	2307
571	45515	2228
572	45588	2148
573	45664	2068
574	45733	1988
575	45814	1908
576	45907	1829
577	46021	1751
578	46140	1673
579	46283	1595
580	46367	1516
581	46433	1436
582	46515	1356
583	46689	1279
584	46796	1199
585	46875	1119
586	46948	1039
587	47042	960
588	47115	879
589	47186	799
590	47259	719
591	47332	639
592	47409	559
593	47480	479
594	47560	399
595	47636	319
596	47709	239
597	47783	159
598	47859	79
599	47934	0
