airline_sentiment,text
neutral,said
positive,plus youve added commercial experience tacky
neutral,didnt today must mean need take another trip
negative,really aggressive blast obnoxious entertainment guest face amp little recourse
negative,really big bad thing
negative,seriously would pay flight seat didnt playing really bad thing flying va
positive,yes nearly every time fly vx ear worm wont go away
neutral,really missed prime opportunity men without hat parody httpstcomwpggrezp
positive,well didntbut
positive,amazing arrived hour early youre good
neutral,know suicide second leading cause death among teen
positive,lt pretty graphic much better minimal iconography
positive,great deal already thinking nd trip amp havent even gone st trip yet p
positive,im flying fabulous seductive sky u take stress away travel httptcoahlxhhkiyn
positive,thanks
negative,sfopdx schedule still mia
positive,excited first cross country flight lax mco ive heard nothing great thing virgin america daystogo
negative,flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help
positive,flying
positive,know would amazingly awesome bosfll please want fly
negative,first fare may three time carrier seat available select
positive,love graphic httptcoutgrrwaaa
positive,love hipster innovation feel good brand
neutral,making bosgtlas non stop permanently anytime soon
negative,guy messed seating reserved seating friend guy gave seat away want free internet
negative,status match program applied three week called emailed response
negative,happened ur vegan food option least say ur site know wont able eat anything next hr fail
neutral,miss dont worry well together soon
negative,amazing cant get cold air vent vx noair worstflightever roasted sfotobos
neutral,lax ewr middle seat red eye noob maneuver sendambien andchexmix
negative,hi bked cool birthday trip cant add elevate cause entered middle name flight booking problem
neutral,hour operation club sfo posted online current
negative,help left expensive headphone flight iad lax today seat one answering lampf number lax
negative,awaiting return phone call would prefer use online selfservice option
positive,great news america could start flight hawaii end year httptcorpzyfe via
neutral,nice vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience httptcoyounxtqp
positive,moodlighting way fly best experience ever cool calming moodlitmonday
positive,done done best airline around hand
neutral,book flight hawaii
negative,chat support working site httptcovhpgtdwpk
positive,view downtown los angeles hollywood sign beyond rain mountain httptcodwnfibtr
negative,hey first time flyer next week excited im hard time getting flight added elevate account help
neutral,plz help win bid upgrade flight laxgtsea
neutral,unused ticket moved new city dont fly fly expires travelhelp
neutral,flight leaving dallas seattle time feb
positive,im elevategold good reason rock
neutral,dream httptcooadrfaoq httptcolwwdackhx
positive,wow blew mind
neutral,last night tribute soundofmusic oscar think agree
neutral,entertaining
neutral,flight way supposed take minute ago website still show time flight thanks
positive,julie andrew way though impressive
neutral,wish flew atlanta soon
neutral,julie andrew hand
neutral,flight leaving dallas la february th
negative,hi im excited lgagtdal deal ive trying book since last week amp page never load thx
positive,know need spotify stat guiltypleasures
positive,im lady gaga amazing
neutral,carrie
neutral,new marketing song httpstcoflfulcbq let u know think
neutral,julie andrew first lady gaga wowd last night carrie meh
negative,called week ago adding flight elevatethey still havent shown uphelp
neutral,great go carrieunderwood
neutral,sorry mary martin first
positive,love three really cant beat classic
neutral,flight dal dca pm tried check could status please
negative,heyyyy guyyyys trying get hour someone call please
negative,hi virgin im hold minute earlier flight la nyc tonight earlier pm
positive,congrats winning award best deal airline u httptcokjiljaebv
negative,everything fine lost bag
neutral,need change reservation virgin credit card need modify phone waive change fee online
neutral,emailed customer service team let know need tracking number
neutral,hi booked flight need add baggage
negative,airline awesome lax loft need step game dirty table floor httptcohyvrfhjht
positive,worried great ride new plane great crew airline like
positive,awesome flew yall sat morning way correct bill
neutral,watch best student film country foot cmfatfeet httptcokekpdmgif
neutral,first time flying different ratepolicy medium bag thanks
negative,going customer service anyway speak human asap thank
neutral,happened doom
negative,cant supp biz traveler like customer service like neverflyvirginforbusiness
positive,ive applied member inflight crew teamim interested flightattendant dreampath g
negative,youre best whenever begrudgingly use airline im delayed late flight
negative,interesting flying cancelled flight next four flight plannedneverflyvirginforbusiness
negative,disappointing experience shared every business traveler meet neverflyvirgin
